id	title	identifiers	flags	source_snippets
goetzmann0354	Grand Society of Russian Railways (Главное Общество Российских Железных Дорог) Silver Bond	No. 220757		notes:"No. 220757,"
goetzmann0357	Deli Railway Company Share	No. 7390		notes:"No. 7390,"
goetzmann0358	Société Belge d'Exportation (Jules Van der Laat & Cie) Action de Fondation, Antwerp	No. 021		notes:"No. 021,"
goetzmann0359	Banque Royale (John Law) Tournois Banknote	No. 495,360		notes:"No. 495,360,"
goetzmann0360	Compagnie Française du Haut & du Bas Congo Ordinary Share	No. 068,570		notes:"No. 068,570,"
goetzmann0361	Banco giro di Venezia 100-ducat cedula, Venice, 1798	No. 1175		notes:"No. 1175,"
goetzmann0362	Overend, Gurney and Company Limited Share Certificate	No. 72249		notes:"No. 72249"
goetzmann0364	St. Petersburg Electric Lighting Preference Share	No. 38859		notes:"No. 38859,"
goetzmann0365	Hungarian Mortgage Credit Bank Prize Bond	No. 061 | Serie 2884		notes:"No. 061," · notes:"Series 2884,"
goetzmann0366	El Callao Consolidated Gold Mining Company Limited Share Warrant for Five Shares	No. 020887		notes:"No. 020887,"
goetzmann0367	Société Anonyme d'Exploitation de Phu-Quoc Share	No. 032,638		notes:"No. 032,638,"
goetzmann0368	Ferro-Carril y Almacenes de Depósito de Santiago de Cuba Share	No. 7272		notes:"No. 7272,"
goetzmann0369	Commonwealth of Pennsylvania Five Per Cent Stock	No. 71		notes:"No. 71,"
goetzmann0370	Fosses à Charbon de M. le Marquis de Traisnel, fractional share (France, 1781)	No. 263		notes:"No. 263,"
goetzmann0372	General Investment Corporation Stock Purchase Warrant	No. NCW5418		notes:"No. NCW5418"
goetzmann0373	Imperial Japanese Government 4% Loan Bond, Paris, 1910	No. 403578 | Serie 30 | No. 6 | No. 19 | Loan of 1910		notes:"No. 403578," · notes:"Series 30," · description:"No. 6" · description:"No. 19," · description:"Loan of 1910"
goetzmann0374	Gouvernement de la Nouvelle-Calédonie et Dépendances 4% Bond, Paris, 1931	No. 008,679		notes:"No. 008,679,"
goetzmann0376	Société des Grands Hôtels Indochinois Action au Porteur de 50 Piastres	No. 01529		notes:"No. 01529."
goetzmann0377	Great Atlantic & Pacific Tea Company stock certificate, Maryland, 1972	No. 458293		notes:"No. 458293."
goetzmann0379	Imperial Russian Government 3% State Loan, London, 1859	No. 31016 | Loan of 1859		notes:"No. 31016." · notes:"Loan of 1859"
goetzmann0380	Romanian Public Debt Internal Consolidation Loan, Lei 5,000	No. 242914 | No. 156 | Loan of 1935		notes:"No. 242914." · description:"No. 156" · description:"Loan of 1935"
goetzmann0382	Nippon Kangyō Bank (Hypothec Bank of Japan) Premium Savings Bond, 50 yen, Tokyo, 1938	No. 009951		notes:"No. 009951."
goetzmann0383	Nippon Kangyō Bank Premium Wartime Patriotic Bond, Japan, August 1942	No. 083986		notes:"No. 083986."
goetzmann0384	Japanese Wartime Patriotic Bond (Nippon Kangyō Bank), 10 Yen, 1942	No. 095184		notes:"No. 095184."
goetzmann0385	Kahetian Railway Company Bond	No. A14533 | Loan of 1912		notes:"No. A14533." · description:"loan of 1912"
goetzmann0386	Imperial Russian Government 4% State Loan Bond, 1902	No. 116485 | Loan of 1902		notes:"No. 116485." · notes:"Loan 1902"
goetzmann0387	Imperial Russian Government 4½% State Loan Bond, 1905	No. 319459 | Loan of 1905		notes:"No. 319459." · notes:"Loan 1905"
goetzmann0388	Kettingverklaring for a De Woning Maatschappij Batavia Share, Amsterdam, 1941	No. 1499 | No. 355 | No. 155/1940		notes:"No. 1499" · notes:"No. 355." · description:"No. 155/1940"
goetzmann0389	Royal Dutch Petroleum Company Share-Subscription Warrant, The Hague, 1937	No. 015281		notes:"No. 015281."
goetzmann0390	Austrian Third War Loan Bond	No. 100356		notes:"No. 100356."
goetzmann0391	Russian-American Fur Company Share	No. 036857		notes:"No. 036857."
goetzmann0392	La Platense Flotilla Company Share Warrant (Glasgow, 1886)	No. 15821		notes:"No. 15821."
goetzmann0394	Little Miami Rail Road Company Share Certificate	No. 4644		notes:"No. 4644."
goetzmann0395	Republic of China Lung-Tsing-U-Hai Railway Treasury Bill	No. 11638 | Loan of 1923		notes:"No. 11638." · notes:"Loan 1923"
goetzmann0396	Merchants Insurance Company Stock Transfer, Providence, 1858	No. 178		notes:"No. 178."
goetzmann0397	The Mexican Telephone Company Share Certificate, New York City, 1905	No. 16621		notes:"No. 16621."
goetzmann0398	Minas Geraes Goldfields Limited Share Warrant, London, 1912	No. 023,770		notes:"No. 023,770."
goetzmann0399	Mines d'Or de Nam Kok Share	No. 059,820		notes:"No. 059,820."
goetzmann0400	Moscow-Kazan Railway Company Bond	No. 06181 | Loan of 1901		notes:"No. 06181." · notes:"Loan of 1901"
goetzmann0402	New York Central and Hudson River Railroad Company Debt Certificate	No. 1390		notes:"No. 1390."
goetzmann0404	New York, New Haven and Hartford Railroad Harlem River–Port Chester First Mortgage Gold Bond	No. 331		notes:"No. 331."
goetzmann0406	Compañía del Ferro-Carril de Palencia á Ponferrada (Noroeste de España) Bond, Madrid 1862	No. 32,105		notes:"No. 32,105."
goetzmann0407	Norwich & Worcester Rail Road Company Bond	No. 468		notes:"No. 468."
goetzmann0410	Omnium Français du Film Share	No. 022884		notes:"No. 022884."
goetzmann0412	Norbertine Fathers' Order 8% First Mortgage Bond, Gödöllő (Budapest), 1926	No. 0.274		notes:"No. 0.274."
goetzmann0413	Oregon and Transcontinental Company Share Certificate	No. 10583		notes:"No. 10583."
goetzmann0414	Austrian Building Lottery Bond	No. 049 | Serie 2,485 | No. 199		notes:"No. 049." · notes:"Serie 2,485," · description:"Nr. 199"
goetzmann0416	Café de la Paix Béziers Founder's Share	No. 1335		notes:"No. 1335."
goetzmann0419	Société des Plantations d'Agaves de l'Annam Share (Saigon, 1924)	No. 05863		notes:"No. 05863."
goetzmann0420	Polish-American Oil Company "Columbia" Share Certificate	No. 291101–291150		notes:"No. 291101–291150."
goetzmann0421	Compagnie Privilégiée des Ports de Cadix Mortgage Bond	No. 41,869		notes:"No. 41,869."
goetzmann0423	Royal Serbian Government Tobacco-Monopoly Prize Loan Bond, Belgrade, 1888	No. 35 | Serie 1922	year-like:Serie 1922	notes:"No. 35." · notes:"Series 1922,"
goetzmann0425	French Directory Promesse de mandat territorial, 25 francs, 1796	No. 19891 | Serie 30		notes:"No. 19891," · notes:"Série 30."
goetzmann0427	Reichsbank 1,000-Mark Reichsbanknote, Berlin, 1910	No. 6125588N		notes:"No. 6125588N"
goetzmann0429	Chinese Republic 5% Gold Bond, London, 1925	No. 350,356		notes:"No. 350,356."
goetzmann0430	Chinese Republic Lung-Tsing-U-Hai Railway Bond, Brussels, 1921	No. 012918		notes:"No. 012918."
goetzmann0431	Kingdom of Bulgaria State Gold Loan Bond	No. 055,199 | Loan of 1909		notes:"No. 055,199." · notes:"Loan 1909"
goetzmann0432	Russian General Oil Corporation Share Warrant to Bearer, London, 1912	No. 1625	year-like:No. 1625	notes:"No. 1625."
goetzmann0433	Imperial Russian Government State 4% Rente Certificate, St. Petersburg	No. 02756 | Serie 191		notes:"No. 02756." · notes:"Series 191."
goetzmann0434	Russian-Norwegian Timber Industry Company Share	No. 0349		notes:"No. 0349,"
goetzmann0435	City of Vienna Municipal Bond	No. 011 | Serie 000513		notes:"No. 011." · notes:"Serie 000513,"
goetzmann0436	Walchensee Loan Bond, Munich, 1923	No. 419133		notes:"No. 419133."
goetzmann0437	Seville–Jerez–Cadiz Railway Company Bearer Share, 1857	No. 40,721		notes:"No. 40,721."
goetzmann0438	Shanghai-Nanking Railway Net Profit Sub-Certificate	No. E3036		notes:"No. E3036."
goetzmann0440	Commercial Bank of Siberia Share	No. 10691		notes:"No. 10691,"
goetzmann0441	Société Anonyme des Verreries d'Extrême Orient Share, Tokyo, 1907	No. 8339		notes:"No. 8339."
goetzmann0442	Société Anonyme Minière des Aïmaks de Touchetoukhan et de Tsetsenkhan en Mongolie — St. Petersburg, 1911	No. 07520		notes:"No. 07520,"
goetzmann0443	Société Atlantique de Réassurances Share, Tangier, 1952	No. 69141		notes:"No. 69141."
goetzmann0444	Belgian Enterprise Company Share	No. 0628		notes:"No. 0628."
goetzmann0445	Bulgarian Red Cross Society Premium Loan Bond, Sofia, 1912	No. 05331		notes:"No. 05331."
goetzmann0446	Société de Lovitch des Produits et Engrais Chimiques (Łowicz) Share, Warsaw 1896	No. 2106		notes:"No. 2106,"
goetzmann0447	Société de Lovitch des Produits et Engrais Chimiques Share, Warsaw, 1895	No. 3276 | No. 2106		notes:"No. 3276," · notes:"No. 2106"
goetzmann0448	St. Petersburg Capital Lighting Company Share	No. 39419		notes:"No. 39419,"
goetzmann0449	Société des Mines d'Or de Kilo-Moto Founder's Share, Brussels and Kilo, after 1944	No. 1191340		notes:"No. 1191340."
goetzmann0450	French-Peruvian Mining Company Share	No. 1,735 | No. 22	year-like:No. 1,735	notes:"No. 1,735," · description:"No. 22,"
goetzmann0451	Egyptian Agricultural & Commercial Company Founder's Share	No. 02524		notes:"No. 02524."
goetzmann0452	Spassky Copper Mine Share Warrant	No. 68868		notes:"No. 68868."
goetzmann0453	Sixth Austrian War Loan Bond	No. 007,886 | Serie 247		notes:"No. 007,886." · notes:"Serie 247,"
goetzmann0454	Eighth Austrian War Loan Vienna June 1, 1918	No. 128,924 | Serie 117		notes:"No. 128,924." · notes:"Serie 117,"
goetzmann0455	Austrian Imperial State Bond	No. 207,407		notes:"No. 207,407."
goetzmann0456	Massachusetts Commonwealth Tax Certificate and Massachusetts-Bay Bill	No. 1582 | No. 1541 | No. 5	year-like:No. 1582 year-like:No. 1541	notes:"No. 1582," · notes:"No. 1541" · description:"No. 5"
goetzmann0458	Saint George Textile Company Share	No. 79881–79890		notes:"No. 79881–79890."
goetzmann0459	Texas and German Emigration Company Certificate of Stock (Houston)	No. 572 | No. 2775–2776		notes:"No. 572," · notes:"No. 2775–2776"
goetzmann0462	Egyptian Enterprise and Development Company Share Warrant	No. 08527		notes:"No. 08527."
goetzmann0466	Moscow & Russia Tramways Company Share	No. 00274		notes:"No. 00274,"
goetzmann0467	Egyptian Government Aswan and Asyut Irrigation Works Payment Warrant, London	No. 58/111		notes:"No. 58/111,"
goetzmann0469	Unilever N.V. Option Certificate, Rotterdam, July 1937	No. 97790 | No. 86786 | Loan of 1937		notes:"No. 97790." · notes:"No. 86786" · description:"loan of 1937"
goetzmann0470	United States of Brazil Funding Bond	No. S2940 | No. 20,251		notes:"No. S2940." · notes:"No. 20,251,"
goetzmann0472	Westchester & Philadelphia Rail Road Co. Scrip, Philadelphia, 1860	No. 262		notes:"No. 262."
goetzmann0473	Wisconsin Investment Company Class A Common Stock Certificate, Chicago, 1930	No. C8081		notes:"No. C8081,"
goetzmann0475	Deutsches Reich Treasury Note	No. 73723		notes:"No. 73723."
goetzmann0476	Eendracht Polder Bond, Zaamslag (Zeeland), 1779	No. 353		notes:"No. 353."
goetzmann0479	Chinese Imperial Government 5% Gold Loan Bond, 1903	No. 30659 | Loan of 1903		notes:"No. 30659." · description:"Loan of 1903"
goetzmann0481	Imperial Russian 4% Gold Loan Bond, Sixth Issue (125 Rubles)	No. 059944 | No. 277166		notes:"No. 059944," · notes:"Nos. 277166"
goetzmann0483	Life-Annuity Lottery Ticket of the City of Hamburg, 1773	No. 7027		notes:"No. 7027,"
goetzmann0484	Connecticut Comptroller's Interest Receipt, Hartford, 1789	No. 2435		notes:"No. 2435."
goetzmann0485	Koninklijke Fransche Lyfrente Negotiatie van Maart 1781 — Nominee Register, Amsterdam, 1787	No. 30–59 | No. 30 | No. 74		notes:"Nos. 30–59" · description:"Nos. 30" · description:"No. 74,"
goetzmann0486	Hope & Co. Certificate for Russian 5% Silver Bonds, Amsterdam, 1834	No. 13		notes:"No. 13,"
goetzmann0487	Dutch Certificate for Swedish Crown Debt	No. 1475		notes:"No. 1475."
goetzmann0488	Chinese Imperial Government Gold Loan Bond	No. B106822 | Loan of 1908		notes:"No. B106822," · notes:"Loan 1908"
goetzmann0489	Hollandsche Garantie- & Trust Compagnie German Reich Certificate	No. 0128		notes:"No. 0128,"
goetzmann0490	Royal Dutch Petroleum Stock Purchase Warrant, No. 015284	No. 015284		notes:"No. 015284,"
goetzmann0494	Liverpool Corn Trade Association Perpetual Mortgage Debenture, Liverpool, 1897	No. 291		notes:"No. 291,"
goetzmann0495	Dutch Notarial Certificate for Bank of England Consolidated Annuities	No. 7		notes:"No. 7."
goetzmann0496	Continental Loan Office Bill of Exchange, Massachusetts Bay, 1778	No. 57		notes:"No. 57,"
goetzmann0497	Continental Loan Office Bill of Exchange, Massachusetts, 1778	No. 814		notes:"No. 814,"
goetzmann0500	Share Subscription Contract for the Ostend Company	No. 36		notes:"No. 36."
goetzmann0504	Negotiatie "Concordia Res Parvae Crescunt" Share-Transfer Receipt, Amsterdam, 1894	No. 54		notes:"No. 54"
goetzmann0505	Continental Loan Office Bill of Exchange, Pennsylvania, 1780	No. 43		notes:"No. 43,"
goetzmann0507	Amsterdam Prys-Courant der Effecten, 16 May 1822	No. 39		notes:"No. 39,"
goetzmann0508	Chinese Republic Lung-Tsing-U-Hai Railway Treasury Bill	No. 11639		notes:"No. 11639,"
goetzmann0509	Middelburg Plantation Bond for Essequibo and Demerara	No. 99 | No. 90		notes:"No. 99." · description:"No. 90"
goetzmann0510	French Life Annuity on Four Million Livres	No. 21839		notes:"No. 21839."
goetzmann0512	Republic of New Granada Deferred Bond	No. 7376		notes:"No. 7376,"
goetzmann0513	Rjasan Uralsk Railway Company Certificate	No. 1977 | No. 2722	year-like:No. 1977	notes:"No. 1977," · notes:"No. 2722"
goetzmann0514	The Rock Island Company Administration Certificate, Amsterdam, 1897	No. 52108 | No. 20		notes:"No. 52108," · description:"No. 20"
goetzmann0515	Vereeniging tot Bevordering van 's Lands Weerbaarheid Lottery Loan Share, Rotterdam, 1871	No. 38 | Serie 7734		notes:"No. 38." · notes:"Series 7734,"
goetzmann0520	Hope & Co. Russian 6% Silver Certificate, Amsterdam, 1857	No. 670		notes:"No. 670,"
goetzmann0522	Sillem, Benecke & Co. Russian Funds Certificate, Hamburg, 1821	No. 13549		notes:"No. 13549,"
goetzmann0523	Volksstaat Hessen Brown-Coal-Rye Loan Bond, Darmstadt, 1923	No. 20002 | Loan of 1923		notes:"No. 20002." · description:"Loan of 1923"
goetzmann0524	Spanish Debt Conversion Passive Stock Certificate, London, 1835	No. 457		notes:"No. 457,"
goetzmann0525	Stadnitski & van Heukelom Russian Loan Certificate, Amsterdam, 1825	No. 5320		notes:"No. 5320,"
goetzmann0526	London Stock Exchange WWI Good Delivery Certificate	No. 58707		notes:"No. 58707,"
goetzmann0527	United States Treasury Six Per Cent Deferred Stock Certificate, Philadelphia, 1792	No. 42.94		notes:"No. 42.94,"
goetzmann0528	Dutch Deferred Debt Compliance Certificate, Amsterdam, 1815	No. 6231 | No. 23		notes:"No. 6231," · notes:"No. 23,"
goetzmann0529	Continental Loan Office Bill of Exchange, No. 131	No. 131		notes:"No. 131,"
goetzmann0530	Hessian Rye Loan Bond	No. 002152		notes:"No. 002152."
goetzmann0531	Continental Loan Office Bill of Exchange, Massachusetts Bay	No. 64		notes:"No. 64,"
goetzmann0532	Continental Loan Office Bill of Exchange, No. 71	No. 71		notes:"No. 71,"
goetzmann0535	"Voor den Armen" Charitable Bond, City of Haarlem	No. 110		notes:"No. 110,"
goetzmann0539	German Government International 5½% Loan of 1930, Belgian Issue (Berlin, 1930)	No. A.22399 | Loan of 1930		notes:"No. A.22399," · notes:"Loan 1930"
goetzmann0547	Pekin Syndicate Limited Bearer Share Warrant	No. 835003		notes:"No. 835003"
goetzmann0553	New Russia Company Debenture	No. 277		notes:"No. 277"
goetzmann0564	Chinese Republic 8% Railway Equipment Loan Treasury Note	Loan of 1922		notes:"Loan 1922"
goetzmann0568	Costa Rica Railway Company Debenture	No. 6886 | No. 6,551–12,550		notes:"No. 6886" · notes:"numbered 6,551–12,550"
goetzmann0572	Chinese Republic 5% Gold Industrial Loan, 500-Franc Bond (1914)	No. 026,111 | Loan of 1914		notes:"No. 026,111" · notes:"Loan 1914"
goetzmann0576	Republic of Peru 5% Gold Bond, £10	No. 71547 | No. 4131 | No. 13 | No. 52		notes:"No. 71547" · description:"No. 4131" · page:goetzmann0578:"No. 13" · page:goetzmann0579:"No. 52"
goetzmann0580	Bulgarian 5% State Gold Loan Bond of 1904	No. 079,150 | Loan of 1904		notes:"No. 079,150" · description:"Loan of 1904"
goetzmann0584	Bulgarian 4½% Gold Loan of 1907 Bond	Loan of 1907		description:"Loan of 1907"
goetzmann0588	Empire of Mexico External Public Debt Bond	No. 1,085,528 | No. 1,086,528		notes:"No. 1,085,528" · notes:"No. 1,086,528"
goetzmann0591	Ottoman Government Prize Loan Bond	No. 1,898,329		notes:"No. 1,898,329"
