id	title	identifiers	flags	source_snippets
goetzmann0954	Mississippi Union Bank Bond	No. 562		page:goetzmann0955:"No. 562,"
goetzmann0959	Chanin Building First Mortgage Leasehold Bond	No. MC530		notes:"No. MC530"
goetzmann0961	Times Square 46th Street Building First Mortgage Gold Bond	No. N840 | No. 1556-1560		notes:"No. N840" · description:"Nos. 1556-1560"
goetzmann0964	170 Broadway Building First Mortgage Leasehold Gold Bond	No. D25		notes:"No. D25."
goetzmann1015	Tyler Building First Mortgage Gold Loan Bond	No. M 1259		notes:"No. M 1259"
goetzmann1028	De Woning-Maatschappij, Batavia Bearer Share	No. 1499 | No. 46		notes:"No. 1499," · page:goetzmann0355:"Nos. 46"
goetzmann1030	Ostend Company Engagement Contract for the China Trade	No. 7		description:"No. 7"
goetzmann1032	North American Land Company Share Certificate	No. 15 | No. 141		notes:"No. 15," · description:"numbered 141"
goetzmann1034	Middelburg Plantation Mortgage Bond for Essequebo and Demerara	No. 502		notes:"No. 502,"
goetzmann1035	French Royal 3% Rente (Droit sur les Cuirs)	No. 46460		notes:"No. 46460,"
goetzmann1036	Russian Imperial Perpetual Income Bond	Loan of 1822		description:"loan of 1822"
goetzmann1037	Republic of Texas Texian Loan Bond	No. 43		notes:"No. 43,"
goetzmann1038	Continental Bill of Exchange	No. 85		notes:"No. 85,"
goetzmann0729	Principality of Bulgaria 4½% Gold Loan of 1907 Bond, 500 Francs	Loan of 1907		description:"Loan of 1907"
